1997-01-01 00:00:00+01,7,BD
1998-01-01 00:00:00+01,6,BD
1999-01-01 00:00:00+01,2,BD
2000-01-01 00:00:00+01,8,BD
2001-01-01 00:00:00+01,24,BD
2002-01-01 00:00:00+01,59,BD
2003-01-01 00:00:00+01,167,BD
2004-01-01 00:00:00+01,278,BD
2005-01-01 00:00:00+01,1768,BD
2006-01-01 00:00:00+01,2044,BD
2007-01-01 00:00:00+01,2613,BD
2008-01-01 00:00:00+01,3070,BD
2009-01-01 00:00:00+01,4296,BD
2010-01-01 00:00:00+01,612,BD
1973-01-01 00:00:00+01,27200,BE
1974-01-01 00:00:00+01,47553,BE
1975-01-01 00:00:00+01,46923,BE
1976-01-01 00:00:00+01,44956,BE
1989-01-01 00:00:00+01,3,BE
1992-01-01 00:00:00+01,2,BE
1993-01-01 00:00:00+01,1,BE
1994-01-01 00:00:00+01,1,BE
1995-01-01 00:00:00+01,17,BE
1996-01-01 00:00:00+01,1,BE
1997-01-01 00:00:00+01,3,BE
1999-01-01 00:00:00+01,1,BE
2000-01-01 00:00:00+01,14,BE
2001-01-01 00:00:00+01,24,BE
2002-01-01 00:00:00+01,129,BE
2003-01-01 00:00:00+01,363,BE
2004-01-01 00:00:00+01,827,BE
2005-01-01 00:00:00+01,1063,BE
2006-01-01 00:00:00+01,1608,BE
2007-01-01 00:00:00+01,2226,BE
2008-01-01 00:00:00+01,2388,BE
2009-01-01 00:00:00+01,2898,BE
2010-01-01 00:00:00+01,443,BE
1973-01-01 00:00:00+01,1799,BF
1974-01-01 00:00:00+01,2511,BF
1975-01-01 00:00:00+01,2267,BF
1976-01-01 00:00:00+01,2046,BF
2000-01-01 00:00:00+01,2,BF
2001-01-01 00:00:00+01,2,BF
2002-01-01 00:00:00+01,6,BF
2003-01-01 00:00:00+01,2,BF
2004-01-01 00:00:00+01,5,BF
2005-01-01 00:00:00+01,1,BF
2006-01-01 00:00:00+01,18,BF
2007-01-01 00:00:00+01,69,BF
2008-01-01 00:00:00+01,117,BF
2009-01-01 00:00:00+01,168,BF
2010-01-01 00:00:00+01,32,BF
1973-01-01 00:00:00+01,5200,BG
1974-01-01 00:00:00+01,11339,BG
1975-01-01 00:00:00+01,11087,BG
1976-01-01 00:00:00+01,10856,BG
1985-01-01 00:00:00+01,1,BG
1986-01-01 00:00:00+01,3,BG
1988-01-01 00:00:00+01,1,BG
1989-01-01 00:00:00+01,2,BG
1991-01-01 00:00:00+01,2,BG
1992-01-01 00:00:00+01,2,BG
1993-01-01 00:00:00+01,1,BG
1996-01-01 00:00:00+01,2,BG
1997-01-01 00:00:00+01,4,BG
1999-01-01 00:00:00+01,1,BG
2000-01-01 00:00:00+01,3,BG
2001-01-01 00:00:00+01,16,BG
2002-01-01 00:00:00+01,25,BG
2003-01-01 00:00:00+01,116,BG
2004-01-01 00:00:00+01,175,BG
2005-01-01 00:00:00+01,587,BG
2006-01-01 00:00:00+01,1063,BG
2007-01-01 00:00:00+01,1150,BG
2008-01-01 00:00:00+01,1298,BG
2009-01-01 00:00:00+01,1500,BG
2010-01-01 00:00:00+01,229,BG
1973-01-01 00:00:00+01,1904,BH
1974-01-01 00:00:00+01,5763,BH
1975-01-01 00:00:00+01,7669,BH
1976-01-01 00:00:00+01,8250,BH
1985-01-01 00:00:00+01,2,BH
1989-01-01 00:00:00+01,2,BH
1990-01-01 00:00:00+01,2,BH
1991-01-01 00:00:00+01,1,BH
1998-01-01 00:00:00+01,1,BH
1999-01-01 00:00:00+01,1,BH
2000-01-01 00:00:00+01,1,BH
2001-01-01 00:00:00+01,2,BH
2002-01-01 00:00:00+01,9,BH
2003-01-01 00:00:00+01,62,BH
2004-01-01 00:00:00+01,353,BH
2005-01-01 00:00:00+01,537,BH
2006-01-01 00:00:00+01,493,BH
2007-01-01 00:00:00+01,383,BH
2008-01-01 00:00:00+01,433,BH
2009-01-01 00:00:00+01,456,BH
2010-01-01 00:00:00+01,53,BH
1973-01-01 00:00:00+01,2605,BI
1974-01-01 00:00:00+01,2061,BI
1975-01-01 00:00:00+01,2904,BI
1976-01-01 00:00:00+01,2991,BI
1995-01-01 00:00:00+01,1,BI
1997-01-01 00:00:00+01,1,BI
2000-01-01 00:00:00+01,10,BI
2001-01-01 00:00:00+01,17,BI
2002-01-01 00:00:00+01,5,BI
2003-01-01 00:00:00+01,14,BI
2004-01-01 00:00:00+01,86,BI
2005-01-01 00:00:00+01,103,BI
2006-01-01 00:00:00+01,129,BI
2007-01-01 00:00:00+01,404,BI
2008-01-01 00:00:00+01,250,BI
2009-01-01 00:00:00+01,425,BI
2010-01-01 00:00:00+01,41,BI
1973-01-01 00:00:00+01,1437,BJ
1974-01-01 00:00:00+01,3445,BJ
